datetime,open,high,low,close_price,volume,SMA_10,RSI_14,MACD,MACD_signal
2025-01-19 18:00:00,3.1469,3.1671,3.1271,3.1592,12902992.0,3.1273999999999997,48.408016612371135,-0.018464727499816203,-0.018112643023679792
2025-01-19 19:00:00,3.1591,3.1729,3.145,3.1683,13685465.0,3.13141,49.888894976140605,-0.015599493978408319,-0.0176100132146255
2025-01-19 20:00:00,3.1683,3.2268,3.16,3.2242,17056812.0,3.14021,57.88578266735201,-0.008717621629972694,-0.01583153489769494
2025-01-19 21:00:00,3.2242,3.2379,3.1787,3.1842,20860831.0,3.14697,51.54677362360419,-0.006417378375444205,-0.013948703593244795
2025-01-19 22:00:00,3.1842,3.1874,3.0637,3.0646,41831968.0,3.14803,38.108872684416404,-0.014082801713058757,-0.013975523217207589
2025-01-19 23:00:00,3.0646,3.1353,2.9106,3.0509,69247320.0,3.1421799999999998,36.92150979633809,-0.021020864992237875,-0.015384591572213648
2025-01-20 00:00:00,3.0508,3.0508,2.8277,2.9587,104323808.0,3.12455,30.119973865565825,-0.03357210129367738,-0.019022093516506397
2025-01-20 01:00:00,2.9586,3.0163,2.909,2.9299,69654229.0,3.10349,28.362387857470452,-0.0453205388370419,-0.024281782580613497
2025-01-20 02:00:00,2.93,3.0371,2.9286,2.9862,34622193.0,3.08732,36.199991918382416,-0.049517513677717506,-0.0293289288000343
2025-01-20 03:00:00,2.9863,3.1202,2.9832,3.0868,41952188.0,3.0812999999999997,47.295858613888115,-0.04421636845399979,-0.0323064167308274
2025-01-20 04:00:00,3.0868,3.1334,3.0696,3.1133,20566040.0,3.0767100000000003,49.77386723889348,-0.03744519919377609,-0.03333417322341714
2025-01-20 05:00:00,3.1133,3.1455,3.0745,3.1022,17357117.0,3.0701,48.74013843490708,-0.03259889622130707,-0.033187117822995126
2025-01-20 06:00:00,3.1021,3.1272,3.0778,3.1067,15464522.0,3.05835,49.20075201101485,-0.028071463451181167,-0.03216398694863234
2025-01-20 07:00:00,3.1068,3.2233,3.0877,3.1734,30578471.0,3.05727,55.57314920901532,-0.018883629076282826,-0.029507915374162436
2025-01-20 08:00:00,3.1733,3.256,3.1694,3.201,46323835.0,3.07091,57.92514281531432,-0.00926827588710255,-0.025459987476750462
2025-01-20 09:00:00,3.2011,3.2985,3.1984,3.2667,33006955.0,3.09249,62.95301723371929,0.0036117675048426,-0.01964563648043185
2025-01-20 10:00:00,3.2668,3.292,3.2298,3.2551,28850356.0,3.1221300000000003,61.5544021999515,0.012736453723548369,-0.01316921843963581
2025-01-20 11:00:00,3.255,3.3448,3.2421,3.3197,34749437.0,3.16111,66.07467707357225,0.024893555989217386,-0.005556663553865171
